"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","dataset"
"1","GO:0098803","respiratory chain complex",88,-0.796495906606552,-2.83340882896066,1e-10,2.87777777777778e-09,2.23976608187135e-09,1969,"tags=81%, list=16%, signal=68%","NDUFC1/UQCRFS1/NDUFV1/ATP5F1B/CYC1/STMP1/ATP5PB/NDUFB6/COX7A1/COX8A/UQCRB/NDUFA4L2/NDUFC2/UQCRC1/SDHC/NDUFB9/C15orf48/NDUFB8/NDUFA5/NDUFA8/ATP5F1A/NDUFA2/NDUFS5/COX4I1/UQCRH/NDUFS4/NDUFB7/NDUFV2/COX5A/ATP5ME/NDUFA1/ATP5F1D/ATP5MK/ATP5MJ/NDUFA10/NDUFB1/COX6A1/ATP5PF/NDUFA7/NDUFB4/NDUFAB1/ATP5PD/NDUFA3/ATP5MG/NDUFB3/ATP5MC2/NDUFS3/NDUFA12/NDUFB5/COX7C/ATP5PO/ATP5MF/NDUFA6/ATP5F1E/NDUFB10/NDUFA11/ATP5MC1/COX7A2/NDUFA13/NDUFS6/NDUFS8/COX6B1/ATP5MC3/NDUFB11/UQCRQ/COX7B/COX5B/NDUFB2/NDUFS7/BCS1L/UQCR10","HPAP alpha-cell scRNAseq"
"2","GO:0044391","ribosomal subunit",176,-0.700630147200067,-2.70048784623566,1e-10,2.87777777777778e-09,2.23976608187135e-09,2609,"tags=69%, list=21%, signal=56%","RPS13/RPL17/RPL7A/MRPL18/RPL3/MRPL13/RPS2/RPS18/RPS23/MRPS7/RPS27A/MRPL33/RPL18/RPL12/MRPL16/RPS6/RPL23A/MRPS16/RPL14/RPL36A/RACK1/RPL26/MRPL34/RPL11/MRPL1/MRPS12/MRPS22/RPS9/RPS4X/RPL6/RPS10/RPL21/RPS3/RPL15/RPL35/RPL36/RPS24/RPL41/MRPS17/RPL32/RPL36AL/MRPS5/RPL34/RPL18A/RPL10A/RPS15A/MRPL37/RPL8/MRPS26/RPL29/RPS25/MRPL17/RPL39/MRPS28/RPL19/RPL13A/MRPS33/RPS28/RPLP0/MRPS6/RPL13/MRPS21/MRPL11/MRPL42/RPS11/RPS12/FAU/RPL26L1/MRPL57/RPS3A/RPL27A/RPS19/RPL7/MRPS11/RPL28/MRPS25/MRPL36/MRPS18C/MRPL47/RPS20/RPS14/CHCHD1/MRPL23/MRPL20/RPS26/RPLP1/RPL10/MRPL58/MRPL38/RPS15/MRPL28/MRPL43/RPL23/RPL31/RPLP2/MRPL14/MRPS14/MRPL35/MRPL40/MRPS34/RPS27L/MRPL24/RPS5/MRPL55/MRPS15/UBA52/RPS8/MRPS24/MRPL54/MRPL3/MRPL51/MRPL12/RPS17/MRPS35/GADD45GIP1/MRPL41/MRPL48/MRPL21/MRPL53/MRPL27/AURKAIP1/MRPL52","HPAP alpha-cell scRNAseq"
"3","GO:0005743","mitochondrial inner membrane",441,-0.641651721744111,-2.65725508184862,1e-10,2.87777777777778e-09,2.23976608187135e-09,2003,"tags=49%, list=16%, signal=42%","TMEM160/SLC25A1/MRPL34/NDUFC1/MRPL1/MRPS12/UQCRFS1/MRPS22/NDUFV1/ATP5F1B/BOK/SPHK2/UQCC4/COQ3/EXOG/CYC1/RPS3/SLC25A53/UCP2/SLC25A39/SLC25A20/TMEM223/STMP1/COX6C/MRPS17/PDSS1/ATP5PB/STOML2/TIMM8B/COQ2/MRPS5/NDUFB6/MRPL37/HIGD2A/COX7A1/COX8A/MRPS26/TMEM11/CHCHD3/UQCRB/CNP/MRPL17/IMMP2L/GPD2/NME4/CHCHD10/MRPS28/NDUFC2/HADHB/FDXR/UQCRC1/SDHC/SLC25A6/ALDH18A1/GATM/MRPS33/NDUFB9/FPGS/NDUFB8/SHMT2/MPV17/NDUFA5/MRPS6/NDUFA8/IMMP1L/MRPS21/TIMM17A/MRPL11/MRPL42/COX16/AMBP/ATP5F1A/ALAS1/ATAD3A/UQCC3/SQOR/NDUFA2/NDUFS5/GHITM/COX4I1/UQCRH/CKMT1B/COQ4/NDUFS4/ATPAF2/MICU1/TIMM23/NDUFB7/MICU2/MRPL57/SLC25A35/CKMT1A/COX20/NDUFV2/COX5A/SCO2/KGD4/DHODH/MRPS11/ADCK1/CYCS/APOO/ATP5ME/MRPS25/CHCHD6/MRPL36/SFXN4/NDUFA1/ATP5F1D/MRPS18C/ATP5MK/MRPL47/TMEM126B/ATP5MJ/NDUFAF2/NDUFA10/NDUFB1/DNAJC15/COX6A1/CHCHD1/MRPL23/ATP5PF/MPC2/MRPL20/MICOS13/NDUFA7/NDUFB4/NDUFAB1/MTLN/NDUFAF3/PTPMT1/ATP5PD/NDUFA3/MRPL58/ATP5MG/MRPL38/TMEM242/NDUFB3/MRPL28/COX14/SLC25A51/MRPL43/ROMO1/ATP5MC2/TIMM50/MRPL14/TIMM10/NDUFS3/MRPS14/NDUFA12/NDUFB5/MRPL35/SLC25A11/TMEM14C/TMEM126A/MRPL40/COX7C/ATP5PO/MRPS34/MTFP1/MRPL24/ECSIT/ATP5MF/NDUFA6/ATP5F1E/MRPL55/COA8/NDUFB10/ACAD9/NDUFA11/MRPS15/ATP5MC1/COX7A2/MRPS24/UQCR11/MRPL54/SLC25A26/PHB1/NDUFA13/MICOS10/NDUFS6/NDUFS8/MRPL3/COX6B1/ATP5MC3/SMDT1/NDUFB11/MRPL51/SAMM50/MRPL12/UQCRQ/TIMM13/COX7B/MRPS35/TIMM17B/COX5B/GADD45GIP1/NDUFB2/MRPL41/MRPL48/UQCC2/MRPL21/COA3/MTG1/MRPL53/NDUFS7/MRPL27/BCS1L/ABCB8/DMAC1/PAM16/AURKAIP1/UQCR10/MRPL52","HPAP alpha-cell scRNAseq"
"4","GO:1990204","oxidoreductase complex",113,-0.703360180505164,-2.60322251390523,1e-10,2.87777777777778e-09,2.23976608187135e-09,1969,"tags=59%, list=16%, signal=50%","NDUFC1/UQCRFS1/NDUFV1/CYC1/CYB5R3/NDUFB6/COX7A1/COX8A/UQCRB/KAT2A/NDUFA4L2/NDUFC2/HADHB/UQCRC1/SDHC/NDUFB9/C15orf48/NDUFB8/NDUFA5/NDUFA8/CAT/GLDC/NDUFA2/NDUFS5/OGDH/COX4I1/UQCRH/NDUFS4/NDUFB7/NDUFV2/HSD17B8/COX5A/PDHA1/KGD4/NDUFA1/DHTKD1/NDUFA10/NDUFB1/COX6A1/NDUFA7/NDUFB4/NDUFAB1/NDUFA3/BCKDK/NDUFB3/NDUFS3/NDUFA12/NDUFB5/COX7C/PDHB/NDUFA6/NDUFB10/NDUFA11/COX7A2/NDUFA13/NDUFS6/NDUFS8/COX6B1/NDUFB11/UQCRQ/COX7B/COX5B/NDUFB2/NDUFS7/BCS1L/UQCR10/LDHA","HPAP alpha-cell scRNAseq"
"5","GO:0098798","mitochondrial protein-containing complex",176,-0.667556927361308,-2.57301141866917,1e-10,2.87777777777778e-09,2.23976608187135e-09,1677,"tags=47%, list=13%, signal=41%","MRPS17/PDSS1/TIMM8B/MRPS5/MRPL37/MRPS26/CHCHD3/MRPL17/IMMP2L/CHCHD10/MRPS28/HADHB/SLC25A6/MRPS33/MRPS6/IMMP1L/MRPS21/NFS1/TIMM17A/MRPL11/MRPL42/ISCA2/MICU1/TIMM23/MICU2/MRPL57/MRPS11/APOO/MRPS25/TOMM7/CHCHD6/MRPL36/MRPS18C/MRPL47/DNAJC15/CHCHD1/MRPL23/MPC2/MRPL20/MICOS13/NDUFAB1/TOMM22/MRPL58/MRPL38/MRPL28/MRPL43/ROMO1/TIMM50/MRPL14/TIMM10/MRPS14/MRPL35/MRPL40/MRPS34/MRPL24/TOMM5/MRPL55/MRPS15/MRPS24/MRPL54/TOMM6/PHB1/MICOS10/MRPL3/SMDT1/MRPL51/SAMM50/MRPL12/TIMM13/HSD17B10/MRPS35/TIMM17B/GADD45GIP1/MRPL41/BAX/MRPL48/MRPL21/MRPL53/MRPL27/PAM16/AURKAIP1/MRPL52","HPAP alpha-cell scRNAseq"
"6","GO:0005840","ribosome",219,-0.646329303461117,-2.55412927015826,1e-10,2.87777777777778e-09,2.23976608187135e-09,2525,"tags=58%, list=20%, signal=47%","RPL7A/MRPL18/RPL3/MRPL13/RPS2/RPS18/RPS23/MRPS7/RPS27A/MRPL33/RPL18/RPL12/MRPL16/RPS6/RPL23A/MRPS16/RPL14/RPL36A/RACK1/RPL26/ASCC3/MRPL34/RPL11/MRPL1/MRPS12/MRPS22/RPS9/GCN1/RPS4X/RPL6/RPS10/RPL21/RPS3/RPL15/RPL35/RPL36/RPS24/RPL41/MRPS17/RPL32/RPL36AL/MRPS5/RPL34/RPL18A/RPL10A/RPS15A/MRPL37/RPL8/MRPS26/RPL29/RPS25/MRPL17/RPL39/MRPS28/RPL19/RPL22L1/RPL13A/MRPS33/RPS28/RPLP0/CALR/MRPS6/RPL13/MRPS21/METAP1/MRPL11/MRPL42/RPS11/RRBP1/RPS12/FAU/RPL26L1/MRPL57/RPS3A/RPL27A/RPS19/RPL7/MRPS11/RPL28/MRPS25/MRPL36/MRPS18C/MRPL47/RPS20/SERP1/RPS14/CHCHD1/MRPL23/MRPL20/RPS26/RPLP1/RPL10/MRPL58/MRPL38/RPS15/MRPL28/MRPL43/RPL23/RPL31/RPLP2/MRPL14/MRPS14/MRPL35/MRPL40/MRPS34/RPS27L/MRPL24/RPS5/MRPL55/MRPS15/UBA52/RPS8/MRPS24/MRPL54/MRPL3/MRPL51/MRPL12/RPS17/MRPS35/GADD45GIP1/MRPL41/MRPL48/MRPL21/MTG1/MRPL53/MRPL27/AURKAIP1/MRPL52","HPAP alpha-cell scRNAseq"
"7","GO:0015934","large ribosomal subunit",108,-0.691844371534929,-2.54891843589187,1e-10,2.87777777777778e-09,2.23976608187135e-09,2785,"tags=70%, list=22%, signal=55%","RPL9/RPL27/MRPL15/RPL17/RPL7A/MRPL18/RPL3/MRPL13/MRPL33/RPL18/RPL12/MRPL16/RPL23A/RPL14/RPL36A/RPL26/MRPL34/RPL11/MRPL1/RPL6/RPL21/RPL15/RPL35/RPL36/RPL41/RPL32/RPL36AL/RPL34/RPL18A/RPL10A/MRPL37/RPL8/RPL29/MRPL17/RPL39/RPL19/RPL13A/RPLP0/RPL13/MRPL11/MRPL42/RPL26L1/MRPL57/RPL27A/RPL7/RPL28/MRPL36/MRPL47/MRPL23/MRPL20/RPLP1/RPL10/MRPL58/MRPL38/MRPL28/MRPL43/RPL23/RPL31/RPLP2/MRPL14/MRPL35/MRPL40/MRPL24/MRPL55/UBA52/MRPL54/MRPL3/MRPL51/MRPL12/GADD45GIP1/MRPL41/MRPL48/MRPL21/MRPL53/MRPL27/MRPL52","HPAP alpha-cell scRNAseq"
"8","GO:0019866","organelle inner membrane",481,-0.605427912997534,-2.51920963163373,1e-10,2.87777777777778e-09,2.23976608187135e-09,2003,"tags=45%, list=16%, signal=39%","TMEM160/SLC25A1/MRPL34/NDUFC1/MRPL1/MRPS12/UQCRFS1/MRPS22/NDUFV1/ATP5F1B/BOK/SPHK2/UQCC4/COQ3/EXOG/CYC1/RPS3/SLC25A53/UCP2/SLC25A39/SLC25A20/TMEM223/STMP1/COX6C/MRPS17/PDSS1/ATP5PB/STOML2/TIMM8B/COQ2/MRPS5/NDUFB6/MRPL37/SIGMAR1/HIGD2A/COX7A1/COX8A/MRPS26/TMEM11/CHCHD3/UQCRB/CNP/MRPL17/IMMP2L/GPD2/NME4/CHCHD10/MRPS28/NDUFC2/HADHB/FDXR/UQCRC1/SDHC/SLC25A6/ALDH18A1/GATM/MRPS33/NDUFB9/FPGS/NDUFB8/SHMT2/MPV17/NDUFA5/MRPS6/NDUFA8/IMMP1L/MRPS21/TIMM17A/MRPL11/MRPL42/COX16/AMBP/ATP5F1A/ALAS1/ATAD3A/UQCC3/SQOR/NDUFA2/NDUFS5/NUTF2/GHITM/COX4I1/UQCRH/TMEM120A/CKMT1B/COQ4/NDUFS4/ATPAF2/MICU1/TIMM23/NDUFB7/MICU2/MRPL57/SLC25A35/CKMT1A/COX20/NDUFV2/COX5A/SCO2/KGD4/DHODH/MRPS11/ADCK1/CYCS/APOO/ATP5ME/MRPS25/CHCHD6/MRPL36/SFXN4/NDUFA1/ATP5F1D/MRPS18C/ATP5MK/MRPL47/TMEM126B/ATP5MJ/NDUFAF2/NDUFA10/NDUFB1/DNAJC15/COX6A1/CHCHD1/MRPL23/ATP5PF/MPC2/MRPL20/MICOS13/NDUFA7/NDUFB4/NDUFAB1/MTLN/NDUFAF3/PTPMT1/ATP5PD/NDUFA3/MRPL58/ATP5MG/MRPL38/TMEM242/NDUFB3/MRPL28/COX14/SLC25A51/MRPL43/ROMO1/ATP5MC2/TIMM50/MRPL14/TIMM10/NDUFS3/MRPS14/NDUFA12/NDUFB5/MRPL35/SLC25A11/TMEM14C/TMEM126A/MRPL40/COX7C/ATP5PO/MRPS34/MTFP1/MRPL24/ECSIT/ATP5MF/NDUFA6/ATP5F1E/MRPL55/COA8/NDUFB10/ACAD9/NDUFA11/MRPS15/ATP5MC1/COX7A2/MRPS24/UQCR11/MRPL54/SLC25A26/PHB1/NDUFA13/MICOS10/NDUFS6/NDUFS8/MRPL3/COX6B1/ATP5MC3/SMDT1/NDUFB11/MRPL51/SAMM50/MRPL12/UQCRQ/TIMM13/COX7B/MRPS35/TIMM17B/COX5B/GADD45GIP1/NDUFB2/MRPL41/MRPL48/UQCC2/MRPL21/COA3/MTG1/MRPL53/NDUFS7/MRPL27/BCS1L/ABCB8/DMAC1/PAM16/AURKAIP1/UQCR10/MRPL52","HPAP alpha-cell scRNAseq"
"9","GO:0030964","NADH dehydrogenase complex",37,-0.822906027703908,-2.50331773615834,1e-10,2.87777777777778e-09,2.23976608187135e-09,1969,"tags=89%, list=16%, signal=75%","NDUFC1/NDUFV1/NDUFB6/NDUFC2/NDUFB9/NDUFB8/NDUFA5/NDUFA8/NDUFA2/NDUFS5/NDUFS4/NDUFB7/NDUFV2/NDUFA1/NDUFA10/NDUFB1/NDUFA7/NDUFB4/NDUFAB1/NDUFA3/NDUFB3/NDUFS3/NDUFA12/NDUFB5/NDUFA6/NDUFB10/NDUFA11/NDUFA13/NDUFS6/NDUFS8/NDUFB11/NDUFB2/NDUFS7","HPAP alpha-cell scRNAseq"
"10","GO:0045271","respiratory chain complex I",37,-0.822906027703908,-2.50331773615834,1e-10,2.87777777777778e-09,2.23976608187135e-09,1969,"tags=89%, list=16%, signal=75%","NDUFC1/NDUFV1/NDUFB6/NDUFC2/NDUFB9/NDUFB8/NDUFA5/NDUFA8/NDUFA2/NDUFS5/NDUFS4/NDUFB7/NDUFV2/NDUFA1/NDUFA10/NDUFB1/NDUFA7/NDUFB4/NDUFAB1/NDUFA3/NDUFB3/NDUFS3/NDUFA12/NDUFB5/NDUFA6/NDUFB10/NDUFA11/NDUFA13/NDUFS6/NDUFS8/NDUFB11/NDUFB2/NDUFS7","HPAP alpha-cell scRNAseq"
"11","GO:0000313","organellar ribosome",88,-0.70114815541989,-2.49422421069334,1e-10,2.87777777777778e-09,2.23976608187135e-09,1982,"tags=58%, list=16%, signal=49%","MRPL34/MRPL1/MRPS12/MRPS22/MRPS17/MRPS5/MRPL37/MRPS26/MRPL17/MRPS28/MRPS33/MRPS6/MRPS21/MRPL11/MRPL42/MRPL57/MRPS11/MRPS25/MRPL36/MRPS18C/MRPL47/CHCHD1/MRPL23/MRPL20/MRPL58/MRPL38/MRPL28/MRPL43/MRPL14/MRPS14/MRPL35/MRPL40/MRPS34/MRPL24/MRPL55/MRPS15/MRPS24/MRPL54/MRPL3/MRPL51/MRPL12/MRPS35/GADD45GIP1/MRPL41/MRPL48/MRPL21/MTG1/MRPL53/MRPL27/AURKAIP1/MRPL52","HPAP alpha-cell scRNAseq"
"12","GO:0005761","mitochondrial ribosome",88,-0.70114815541989,-2.49422421069334,1e-10,2.87777777777778e-09,2.23976608187135e-09,1982,"tags=58%, list=16%, signal=49%","MRPL34/MRPL1/MRPS12/MRPS22/MRPS17/MRPS5/MRPL37/MRPS26/MRPL17/MRPS28/MRPS33/MRPS6/MRPS21/MRPL11/MRPL42/MRPL57/MRPS11/MRPS25/MRPL36/MRPS18C/MRPL47/CHCHD1/MRPL23/MRPL20/MRPL58/MRPL38/MRPL28/MRPL43/MRPL14/MRPS14/MRPL35/MRPL40/MRPS34/MRPL24/MRPL55/MRPS15/MRPS24/MRPL54/MRPL3/MRPL51/MRPL12/MRPS35/GADD45GIP1/MRPL41/MRPL48/MRPL21/MTG1/MRPL53/MRPL27/AURKAIP1/MRPL52","HPAP alpha-cell scRNAseq"
"13","GO:0022626","cytosolic ribosome",107,-0.664214818351876,-2.4434399232129,1e-10,2.87777777777778e-09,2.23976608187135e-09,2609,"tags=64%, list=21%, signal=51%","RPS13/RPL17/RPL7A/RPL3/RPS2/RPS18/RPS23/RPS27A/RPL18/RPL12/RPS6/RPL23A/RPL14/RPL36A/RACK1/RPL26/ASCC3/RPL11/RPS9/GCN1/RPS4X/RPL6/RPS10/RPL21/RPS3/RPL15/RPL35/RPL36/RPS24/RPL41/RPL32/RPL36AL/RPL34/RPL18A/RPL10A/RPS15A/RPL8/RPL29/RPS25/RPL39/RPL19/RPL13A/RPS28/RPLP0/RPL13/METAP1/RPS11/RPS12/FAU/RPL26L1/RPS3A/RPL27A/RPS19/RPL7/RPL28/RPS20/RPS14/RPS26/RPLP1/RPL10/RPS15/RPL23/RPL31/RPLP2/RPS27L/RPS5/UBA52/RPS8/RPS17","HPAP alpha-cell scRNAseq"
"14","GO:0015935","small ribosomal subunit",70,-0.710090190761094,-2.43145821711765,1e-10,2.87777777777778e-09,2.23976608187135e-09,2426,"tags=70%, list=19%, signal=57%","RPS2/RPS18/RPS23/MRPS7/RPS27A/RPS6/MRPS16/RACK1/MRPS12/MRPS22/RPS9/RPS4X/RPS10/RPS3/RPS24/MRPS17/MRPS5/RPS15A/MRPS26/RPS25/MRPS28/MRPS33/RPS28/MRPS6/MRPS21/MRPL42/RPS11/RPS12/FAU/RPS3A/RPS19/MRPS11/MRPS25/MRPS18C/RPS20/RPS14/CHCHD1/RPS26/RPS15/MRPS14/MRPS34/RPS27L/RPS5/MRPS15/RPS8/MRPS24/RPS17/MRPS35/AURKAIP1","HPAP alpha-cell scRNAseq"
"15","GO:0005758","mitochondrial intermembrane space",78,-0.674143797109835,-2.35013997528912,1e-10,2.87777777777778e-09,2.23976608187135e-09,1780,"tags=51%, list=14%, signal=44%","COX19/STMP1/COX6C/NLN/STOML2/TIMM8B/NME4/CHCHD10/GATM/ARL2/DIABLO/NDUFA8/PARK7/NDUFS5/SDHAF3/CHCHD2/COX4I1/MICU1/TIMM23/NDUFB7/MICU2/RNASET2/COX5A/CYCS/PANK2/AK2/CHCHD5/TIMM10/COA4/SOD1/BLOC1S1/PRELID1/COX17/REXO2/HAX1/TIMM13/CHCHD7/PRELID2/UQCC2/CLPB","HPAP alpha-cell scRNAseq"
"16","GO:0005759","mitochondrial matrix",460,-0.562684102688795,-2.33888671245662,1e-10,2.87777777777778e-09,2.23976608187135e-09,3016,"tags=48%, list=24%, signal=38%","DECR1/MRPS2/MRM1/POLDIP2/SDHAF2/ISCA1/ACAD8/HARS2/DLD/D2HGDH/HAGH/MRPL19/SSBP1/ALDH6A1/TRUB2/MTHFD1L/GCDH/MRPL15/GARS1/ALDH1B1/CYP27A1/SDHAF4/DHX30/LYRM4/BCKDHA/FXN/DLST/DNAJC19/TBRG4/COX10/PPM1K/MRPL18/NRDC/MRPL13/DGUOK/MRPS7/LRPPRC/MRPL33/IVD/BCKDHB/SUCLG2/MRPL16/ERAL1/MRPS16/ALDH1L2/ADPRS/HIBADH/GCSH/FASTKD2/ATP5F1C/VDAC1/HIBCH/MRPL34/AASS/EARS2/CCNB1/ECH1/MRPL1/FASTK/LARS2/MRPS12/UQCRFS1/MRPS22/BTD/PYCR2/ATP5F1B/RIDA/TMLHE/RPS3/GPT2/ACAA2/MRPS17/PDSS1/ATP5PB/MRPS5/ACADS/MRPL37/ACAT1/TST/LRRC59/ACOT2/OGG1/LONP1/MRPS26/FARS2/ACO2/NFU1/MRPL17/NME4/GOT2/ETFA/ALDH5A1/MRPS28/HADHB/HSPE1/PCCB/FDXR/BCAT2/MRPS33/ARL2/FPGS/NDUFB8/MPST/SHMT2/WARS2/MCCC2/MRPS6/FAHD1/MRPS21/NFS1/GLDC/MRPL11/PARK7/MRPL42/PCK2/ATP5F1A/ALAS1/ATAD3A/MECR/ACOT13/SDHAF3/ISCA2/C1QBP/MTHFS/OGDH/CDKN2A/GSTK1/ALDH2/ETFB/MRPL57/ELAC2/HSD17B8/YARS2/FDX2/PDHA1/AUH/MRPS11/GSTZ1/NARS2/MRPS25/MRPL36/MTHFD2/ATP5F1D/MRPS18C/MRPL47/DHTKD1/NDUFA10/DNAJC15/CHCHD1/MRPL23/NIPSNAP1/MRPL20/DTYMK/NDUFAB1/VDAC2/CMC1/PYCR1/SUCLG1/MDH2/MRPL58/BCKDK/MRPL38/STYXL1/PIN4/PCCA/MRPL28/MRPL43/MRPL14/NDUFS3/MRPS14/MRPL35/MRPL40/MRPS34/PDHB/ALKBH7/SOD1/MRPL24/SLIRP/NAXE/BOLA3/TXN2/BLOC1S1/ATP5F1E/MRPL55/PRDX3/CLPP/ECHS1/MRPS15/PRDX5/NDUFAF8/MRPS24/MMAB/MRPL54/REXO2/ETHE1/NDUFS8/RPUSD3/MRPL3/SMDT1/MRPL51/HAX1/MRPL12/SUCLA2/HSD17B10/IDH2/MRPS35/PC/SARS2/GADD45GIP1/MRPL41/MRPL48/UQCC2/MRPL21/MTG1/MRPL53/NDUFS7/MRPL27/MPG/PAM16/AURKAIP1/NUDT1/MRPL52","HPAP alpha-cell scRNAseq"
"17","GO:1902495","transmembrane transporter complex",256,-0.549037085478002,-2.19409811811831,1e-10,2.87777777777778e-09,2.23976608187135e-09,2091,"tags=41%, list=17%, signal=35%","GABRG2/DPP6/ATP5F1C/SCN2A/CLCC1/CACNA1C/PTPA/NDUFC1/UQCRFS1/NDUFV1/ATP6V0B/ATP5F1B/SUMO1/KCNIP1/CLIC4/CYC1/ABCB6/FKBP1B/CACNA2D1/CNIH3/ATP5PB/ATP6V1F/NDUFB6/SNAP25/COX7A1/TRPM4/COX8A/UQCRB/NDUFA4L2/CLIC1/NDUFC2/UQCRC1/NDUFB9/C15orf48/NDUFB8/NDUFA5/GRIK2/NDUFA8/FKBP1A/ATP5F1A/NDUFA2/NDUFS5/ATP1B3/COX4I1/UQCRH/NDUFS4/MICU1/NDUFB7/MICU2/KCNA5/NDUFV2/COX5A/GLRB/ATP5ME/NDUFA1/ATP5F1D/ATP5MK/ATP6V0E1/ATP5MJ/NDUFA10/NDUFB1/COX6A1/ATP5PF/NDUFA7/NDUFB4/NDUFAB1/ATP5PD/NDUFA3/ATP5MG/CHRNB1/NDUFB3/ATP5MC2/NDUFS3/NDUFA12/NDUFB5/CALM2/COX7C/ATP5PO/FXYD2/ATP5MF/CALM3/NDUFA6/ATP5F1E/NDUFB10/NDUFA11/ATP5MC1/COX7A2/NDUFA13/NDUFS6/NDUFS8/GLRA3/COX6B1/ATP5MC3/SMDT1/NDUFB11/UQCRQ/COX7B/ATP6V1D/COX5B/RNASEK/NDUFB2/NDUFS7/BCS1L/ABCB8/UQCR10","HPAP alpha-cell scRNAseq"
"18","GO:1990351","transporter complex",276,-0.531291450425249,-2.13682762314648,1e-10,2.87777777777778e-09,2.23976608187135e-09,2091,"tags=39%, list=17%, signal=34%","GABRG2/DPP6/ATP5F1C/SCN2A/CLCC1/CACNA1C/PTPA/NDUFC1/UQCRFS1/NDUFV1/ATP6V0B/ATP5F1B/SUMO1/KCNIP1/CLIC4/CYC1/ABCB6/FKBP1B/CACNA2D1/CNIH3/ATP5PB/TIMM8B/ATP6V1F/NDUFB6/SNAP25/COX7A1/TRPM4/COX8A/UQCRB/NDUFA4L2/CLIC1/NDUFC2/UQCRC1/NDUFB9/C15orf48/NDUFB8/NDUFA5/GRIK2/NDUFA8/FKBP1A/ATP5F1A/NDUFA2/NDUFS5/ATP1B3/COX4I1/UQCRH/NDUFS4/MICU1/NDUFB7/MICU2/KCNA5/NDUFV2/COX5A/GLRB/ATP5ME/NDUFA1/ATP5F1D/ATP5MK/ATP6V0E1/ATP5MJ/NDUFA10/NDUFB1/COX6A1/ATP5PF/NDUFA7/NDUFB4/NDUFAB1/ERGIC3/ATP5PD/NDUFA3/ATP5MG/CHRNB1/NDUFB3/ATP5MC2/TIMM10/NDUFS3/NDUFA12/NDUFB5/CALM2/COX7C/ATP5PO/FXYD2/ATP5MF/CALM3/NDUFA6/ATP5F1E/NDUFB10/NDUFA11/ATP5MC1/COX7A2/NDUFA13/NDUFS6/NDUFS8/GLRA3/COX6B1/ATP5MC3/SMDT1/NDUFB11/UQCRQ/TIMM13/COX7B/ATP6V1D/COX5B/RNASEK/NDUFB2/NDUFS7/BCS1L/ABCB8/UQCR10","HPAP alpha-cell scRNAseq"
"19","GO:0044391","ribosomal subunit",177,-0.682354399093954,-2.82464953298322,1e-10,3.94615384615385e-09,3.34412955465587e-09,2715,"tags=67%, list=22%, signal=53%","MRPL23/MRPS15/RPS16/MRPS18A/RPSA/RPL23A/MRPL44/RPL9/RPL36AL/RPL4/MRPL37/MRPL15/MRPL46/RPS23/MRPL41/RPL41/RPLP0/RPS4X/RPL39/MRPS17/RPS13/RPL18/RPL8/RPL12/MRPS12/MRPL3/MRPS35/FAU/RPL36A/RPS19/RPL35/MRPL55/MRPS18C/MRPL36/MRPL16/MRPL11/MRPS21/RPS15A/MRPL48/RPS25/RPS27A/MRPL12/MRPS27/RPLP1/RPL10A/RPL28/MRPL24/RPL21/MRPL47/MRPS26/RPL17/RPL34/RPS26/RPS18/MRPL38/RPL6/MRPS6/MRPL20/MRPL17/RPL11/RPL26L1/MRPL43/RPS24/RPS15/RPL19/MRPS5/GADD45GIP1/RPS6/RPL18A/RPL7A/RPL14/RPL26/RPL32/RPS20/MRPS16/RPS3A/RPL29/MRPL57/RPS12/RPS2/MRPL21/RPL15/CHCHD1/RPS3/MRPS34/MRPS33/MRPL54/RPL31/AURKAIP1/RPLP2/RPS27L/RPL13A/MRPS14/MRPL52/RPL23/RPS9/MRPS24/MRPL40/MRPL53/RPL27A/RPL7/RPS17/MRPS25/RPS11/MRPS11/MRPL51/MRPS10/RPL13/MRPL14/UBA52/RPL3/RPS5/RPS14/RPL10/RPS8/MRPL34/RACK1/MRPL27","HPAP beta-cell scRNAseq"
